id,utterance,intent,entities,context,language,channel,sentiment,source
526,what time is check-in?,inquire_checkin_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
527,latest checkout time?,inquire_checkout_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,phone,neutral,synthetic_v1
528,what time is check-out?,inquire_checkout_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,chat,neutral,synthetic_v1
529,make it 3 guests total,change_guest_count,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": 3, ""children"": 0, ""guests_total"": 3, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""cab85f64"", ""special_requests"": null}",post_booking,en,chat,neutral,synthetic_v1
530,I want to reserve suite 2026-06-11 - 2026-06-16 for 1 guests,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-06-11"", ""check_out"": ""2026-06-16"", ""nights"": 5, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": 1, ""children"": 0, ""guests_total"": 1, ""name"": ""Parker Thomas"", ""email"": ""parker.thomas804@yopmail.com"", ""phone"": ""+18731120823"", ""view"": null, ""breakfast_included"": false, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""quiet side""}",booking,en,whatsapp,positive,synthetic_v1
531,are ocean suites free between 2026-09-19 and 2026-09-26?,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-09-19"", ""check_out"": ""2026-09-26"", ""nights"": null, ""room_code"": null, ""room_type"": ""Ocean Suite"", ""adults"": 1, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,whatsapp,neutral,synthetic_v1
532,do you have family rooms?,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,whatsapp,neutral,synthetic_v1
533,what time is check-in?,inquire_checkin_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,messenger,neutral,synthetic_v1
534,early check-in around 11am?,request_early_checkin,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_arrival,en,whatsapp,neutral,synthetic_v1
535,I need to cancel booking 9a93f3f6,cancel_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""9a93f3f6"", ""special_requests"": null}",post_booking,en,phone,negative,synthetic_v1
536,change my dates to 2026-05-13 - 2026-05-14,change_dates,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-05-13"", ""check_out"": ""2026-05-14"", ""nights"": 1, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""b2ec02cc"", ""special_requests"": null}",post_booking,en,web,neutral,synthetic_v1
537,do you have pool?,inquire_amenities,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""amenity"": null}",pre_booking,en,whatsapp,neutral,synthetic_v1
538,please confirm,confirm,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,web,positive,synthetic_v1
539,can I get late checkout?,request_late_checkout,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",in_stay,en,app,neutral,synthetic_v1
540,how late can I cancel?,inquire_cancellation_policy,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,phone,neutral,synthetic_v1
541,I want to reserve ocean suite 2026-06-01 - 2026-06-05 for 1 guests,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-06-01"", ""check_out"": ""2026-06-05"", ""nights"": 4, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": null, ""children"": 0, ""guests_total"": 1, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""crib""}",booking,en,app,positive,synthetic_v1
542,cheers,thanks,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,phone,positive,synthetic_v1
543,need a detailed invoice emailed,request_invoice,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",post_stay,en,whatsapp,neutral,synthetic_v1
544,is there a ocean suite available on 2026-08-05?,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-08-05"", ""check_out"": ""2026-08-09"", ""nights"": 4, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": 2, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,whatsapp,neutral,synthetic_v1
545,is parking free?,inquire_parking,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
546,"please make a booking 2025-12-28 for 2 nights, family room",make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2025-12-28"", ""check_out"": ""2025-12-30"", ""nights"": 2, ""room_code"": ""FAM"", ""room_type"": ""Family Suite"", ""adults"": 1, ""children"": 2, ""guests_total"": 3, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""crib""}",booking,en,whatsapp,positive,synthetic_v1
547,upgrade to ocean suite,change_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": ""STE"", ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""18da383a"", ""special_requests"": null}",post_booking,en,messenger,neutral,synthetic_v1
548,do you have family rooms?,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,chat,neutral,synthetic_v1
549,cheers,thanks,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,whatsapp,positive,synthetic_v1
550,is there a family suite available on 2025-12-14?,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2025-12-14"", ""check_out"": ""2025-12-20"", ""nights"": null, ""room_code"": ""FAM"", ""room_type"": ""Family Suite"", ""adults"": 2, ""children"": 2, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,phone,neutral,synthetic_v1
551,is breakfast included?,inquire_amenities,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""amenity"": ""breakfast""}",pre_booking,en,app,neutral,synthetic_v1
552,do you offer parking?,inquire_parking,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,chat,neutral,synthetic_v1
553,asdfgh,unknown,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,whatsapp,neutral,synthetic_v1
554,"great stay, thanks!",feedback_positive,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",post_stay,en,phone,positive,synthetic_v1
555,make it 2 guests total,change_guest_count,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": 2, ""children"": 0, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""d280202e"", ""special_requests"": null}",post_booking,en,web,neutral,synthetic_v1
556,I want to reserve twin room 2026-01-16 - 2026-01-17 for 3 guests,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-01-16"", ""check_out"": ""2026-01-17"", ""nights"": 1, ""room_code"": ""DLX"", ""room_type"": null, ""adults"": 2, ""children"": 1, ""guests_total"": 3, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": false, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""high floor""}",booking,en,web,positive,synthetic_v1
557,need a room 2026-08-17 - 2026-08-23,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-08-17"", ""check_out"": ""2026-08-23"", ""nights"": 6, ""room_code"": null, ""room_type"": null, ""adults"": 2, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,app,neutral,synthetic_v1
558,switch to a king room,change_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": ""DLX"", ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",post_booking,en,web,neutral,synthetic_v1
559,hi,greet,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,whatsapp,neutral,synthetic_v1
560,is there a king room available on 2026-07-04?,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-07-04"", ""check_out"": ""2026-07-07"", ""nights"": 3, ""room_code"": ""DLX"", ""room_type"": ""Deluxe Room"", ""adults"": 3, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,app,neutral,synthetic_v1
561,what about pet?,inquire_amenities,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""amenity"": ""pet""}",pre_booking,en,app,neutral,synthetic_v1
562,please send an invoice,request_invoice,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",post_stay,en,chat,neutral,synthetic_v1
563,do you have family rooms?,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
564,book a ocean view suite for 2 adults and 1 children from 2026-04-08 to 2026-04-15,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-04-08"", ""check_out"": ""2026-04-15"", ""nights"": 7, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": 2, ""children"": 1, ""guests_total"": 3, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": false, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,app,positive,synthetic_v1
565,book a standard room for 2 adults  from 2026-06-26 to 2026-06-28,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": ""2026-06-28"", ""nights"": 2, ""room_code"": null, ""room_type"": null, ""adults"": 2, ""children"": 0, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""quiet side""}",booking,en,phone,positive,synthetic_v1
566,latest checkout time?,inquire_checkout_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,messenger,neutral,synthetic_v1
567,cancel my reservation 05f5cb3f,cancel_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""05f5cb3f"", ""special_requests"": null}",post_booking,en,web,negative,synthetic_v1
568,is spa included?,inquire_amenities,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""amenity"": ""spa""}",pre_booking,en,whatsapp,neutral,synthetic_v1
569,everything was wonderful,feedback_positive,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",post_stay,en,chat,positive,synthetic_v1
570,I want to reserve standard room 2026-06-11 - 2026-06-12 for 2 guests,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-06-11"", ""check_out"": ""2026-06-12"", ""nights"": 1, ""room_code"": ""STD"", ""room_type"": ""Standard Room"", ""adults"": 2, ""children"": 0, ""guests_total"": null, ""name"": null, ""email"": ""taylor.taylor677@gmail.com"", ""phone"": ""+17578605637"", ""view"": null, ""breakfast_included"": false, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""high floor""}",booking,en,messenger,positive,synthetic_v1
571,do you have family rooms?,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,phone,neutral,synthetic_v1
572,asdfgh,unknown,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,web,neutral,synthetic_v1
573,tell me about suites,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,messenger,neutral,synthetic_v1
574,bye,goodbye,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,app,neutral,synthetic_v1
575,go ahead,confirm,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,whatsapp,positive,synthetic_v1
576,what time is check-in?,inquire_checkin_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,messenger,neutral,synthetic_v1
577,I want to reserve twin room 2025-12-24 - 2025-12-25 for 3 guests,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2025-12-24"", ""check_out"": ""2025-12-25"", ""nights"": null, ""room_code"": ""DLX"", ""room_type"": ""Deluxe Room"", ""adults"": 3, ""children"": 0, ""guests_total"": 3, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""high floor""}",booking,en,phone,positive,synthetic_v1
578,"please make a booking 2026-09-29 for 2 nights, standard",make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-09-29"", ""check_out"": ""2026-10-01"", ""nights"": 2, ""room_code"": ""STD"", ""room_type"": ""Standard Room"", ""adults"": 2, ""children"": 1, ""guests_total"": 3, ""name"": ""Parker Jackson"", ""email"": ""parker.jackson141@outlook.com"", ""phone"": ""+19887394288"", ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""quiet side""}",booking,en,messenger,positive,synthetic_v1
579,book a suite for 1 adults  from 2026-02-06 to 2026-02-07,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-02-06"", ""check_out"": ""2026-02-07"", ""nights"": 1, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": 1, ""children"": 0, ""guests_total"": 1, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,app,positive,synthetic_v1
580,move reservation to 2026-09-27,change_dates,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-09-27"", ""check_out"": null, ""nights"": 1, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""339ef3d7"", ""special_requests"": null}",post_booking,en,whatsapp,neutral,synthetic_v1
581,what's the meaning of life,unknown,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,chat,neutral,synthetic_v1
